Variable,Unidades,Tiempo de exposicion (horas),Year,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Minimo,Dias de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estacion
SO2,ugm3,24,2020,7.1,2519.9,356,97.0,0,0.0,7.6,14.4,30.2,0.6,0,CUNDINAMARCA,SIBATE,Fija
TAire2,Celsius,1,2020,27.1,187044.4,6907,79.0,0,0.0,26.4,34.4,37.5,19.2,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,27.1,7772.52,287,78.0,0,0.0,27.2,29.2,29.8,23.3,0,VALLE DEL CAUCA,CALI,Fija
PM10,ugm3,1,2020,32.4,238109.49,7345,84.0,293,3.99,28.3,86.7,150.7,0.3,88,BOYACA,NOBSA,Indicativa
SO2,ugm3,1,2020,7.1,60591.93,8527,97.0,1,0.01,6.8,26.1,106.4,0.2,1,CUNDINAMARCA,SIBATE,Fija
SO2,ugm3,24,2020,7.1,199.07,28,8.0,0,0.0,7.0,12.2,13.2,3.2,0,BOGOTA,BOGOTA,Fija
DViento,deg,1,2020,267.7,1834757.7,8772,100.0,0,0.0,211.9,339.4,349.1,16.4,0,VALLE DEL CAUCA,CALI,Fija
DViento,deg,24,2020,204.9,77705.79,366,100.0,0,0.0,214.4,279.7,288.9,106.2,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,1,2020,0.1,831.4,8772,100.0,0,0.0,0.0,1.0,46.8,0.0,0,VALLE DEL CAUCA,CALI,Fija
PLiquida,mm,24,2020,2.3,831.4,366,100.0,0,0.0,0.0,17.8,60.4,0.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,1,2020,902.9,7920632.0,8772,100.0,0,0.0,903.0,907.0,908.0,895.0,0,VALLE DEL CAUCA,CALI,Fija
P,mmHg,24,2020,902.9,330477.84,366,100.0,0,0.0,903.0,905.4,906.0,898.2,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,1,2020,318.3,2791749.96,8772,100.0,0,0.0,14.9,1037.8,1039.6,0.0,0,VALLE DEL CAUCA,CALI,Fija
RGlobal,Wm2,24,2020,318.3,116482.89,366,100.0,0,0.0,320.1,406.4,421.6,130.6,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,1,2020,24.6,216300.9,8776,100.0,0,0.0,24.3,30.9,34.0,17.4,0,VALLE DEL CAUCA,CALI,Fija
TAire2,Celsius,24,2020,24.6,9020.44,366,100.0,0,0.0,24.7,26.8,27.1,21.2,0,VALLE DEL CAUCA,CALI,Fija
